ds,yhat,yhat_lower,yhat_upper
2026-06-01,5104.040702249633,3747.452925495354,6534.289213428863
2026-06-02,5397.631503552968,3968.048606486334,6822.711389469533
2026-06-03,5406.123172093726,4021.561748630516,7018.358498434366
2026-06-04,5754.023432055907,4348.980827830484,7142.161272120116
2026-06-05,5540.551589491815,4145.936984591471,6866.281850322594
2026-06-06,4602.435181636174,3162.5328366707367,6096.28386225346
2026-06-07,153.19359885930413,-1152.1021077999053,1602.2562871407067
2026-06-08,5324.5528218511945,3942.5824223691125,6877.364546840249
2026-06-09,5642.754323691179,4292.7007350128015,7077.664542075438
2026-06-10,5671.66621925205,4257.7502748356155,7174.388259815964
2026-06-11,6035.171235584679,4725.410221836331,7498.962624484176
2026-06-12,5832.236280313456,4469.541522984221,7125.550481857869
2026-06-13,4899.301032934932,3505.7346185035667,6387.025811835292
2026-06-14,450.1882022175471,-1057.1732257854587,1812.4566641552924
2026-06-15,5614.1044760734485,4072.324841540442,6994.822126626147
2026-06-16,5919.976684635934,4495.760754920354,7272.727161426268
2026-06-17,5930.963324673609,4371.349477248533,7293.8411419003505
2026-06-18,6271.0769362388955,4861.727508927731,7653.6392341707515
2026-06-19,6039.8041099853535,4581.044899237765,7323.103014964916
2026-06-20,5074.070467565098,3646.3100086989875,6493.4898846394
2026-06-21,588.7620891873794,-863.3004868100842,2030.6243935969333
2026-06-22,5711.297606018266,4160.94048931603,7152.886508946288
2026-06-23,5973.977240950238,4641.165935198204,7472.863900315288
2026-06-24,5939.881283844893,4565.901044113139,7541.911196486424
2026-06-25,6233.714655908011,4846.5665514089915,7632.546634738246
2026-06-26,5955.966560357341,4610.8471119126,7379.030155807127
2026-06-27,4944.442665013178,3518.255713069778,6470.288649264937
2026-06-28,415.3902717157603,-896.3423611077934,1819.7879387986995
2026-06-29,5494.635995572919,3988.1776117594673,6907.608518738406
2026-06-30,5717.944077743077,4240.061038011233,7112.846703292085
2026-07-01,5648.300194591093,4170.915991435284,7025.159755289327
2026-07-02,5910.978584661372,4529.5251157180255,7390.734513760122
2026-07-03,5607.243676687156,4191.715338728187,7062.242210305912
2026-07-04,4575.453700624927,3170.987328520391,6009.9385949992675
2026-07-05,32.795620047236085,-1377.490277588424,1457.8250153636482
2026-07-06,5102.996087210593,3614.792171424781,6536.423859387184
2026-07-07,5324.6982325825975,3985.1514107789594,6701.815641472777
2026-07-08,5260.141353429759,3702.411070285809,6599.850220213735
2026-07-09,5534.462296157635,4233.954462040418,6988.873907883382
2026-07-10,5248.951692261454,3871.8933298587854,6625.204500647259
2026-07-11,4241.742344913439,2828.8460277732224,5715.637316941205
2026-07-12,-269.83224135177494,-1654.4990019859633,1040.8280620105982
2026-07-13,4835.060457085768,3365.7308975775804,6252.319507989653
2026-07-14,5097.161352699267,3689.3342708642263,6475.489206011998
2026-07-15,5077.20920105018,3614.913250972805,6571.310378547686
2026-07-16,5399.489677979106,3958.582584336944,6792.304173391325
2026-07-17,5164.6589953131515,3800.5557808322496,6620.812567692518
2026-07-18,4210.028956834977,2697.4986410939955,5664.122683551285
2026-07-19,-247.4400963256667,-1581.5822942598772,1165.484313198506
2026-07-20,4909.7559575696605,3471.7853061541123,6316.897951149802
2026-07-21,5224.115115043345,3756.544271291709,6574.508083438888
2026-07-22,5254.635050745265,3785.357745275593,6737.2120878398755
2026-07-23,5624.614793215591,4133.416984032297,7078.422673176786
2026-07-24,5434.048848635608,3956.589079537173,6766.494145863294
2026-07-25,4519.510210287732,3082.098382818303,5886.133394892443
2026-07-26,97.7771178699288,-1335.97851310736,1536.897176705185
2026-07-27,5283.322725430468,4009.2844087477574,6754.59949224376
2026-07-28,5620.801536352563,4159.78697338934,7017.367706954822
2026-07-29,5667.965336410789,4297.2907750997165,7156.78381288626
2026-07-30,6047.709489335323,4646.6381737493075,7548.421770347751
2026-07-31,5860.027937712655,4344.610339590497,7206.839308966358
2026-08-01,4941.483019645151,3483.243827168152,6309.781588068269
2026-08-02,509.4535457167057,-1066.8926166060944,1957.6186737338328
2026-08-03,5676.205237365189,4254.550967524982,7075.170828313278
2026-08-04,5989.398908499433,4436.922662549351,7494.699320036589
2026-08-05,6006.401233531326,4566.39469719024,7412.797791122517
2026-08-06,6350.559926670874,4893.417255942076,7704.382318125454
2026-08-07,6122.703717859435,4667.461955976858,7606.117328449937
2026-08-08,5160.183194067326,3735.824860524132,6647.671224044148
2026-08-09,681.7248245271783,-727.0343862669573,2185.229111234581
2026-08-10,5798.06750782797,4339.663283459047,7177.210393083196
2026-08-11,6060.47883733132,4657.101158434001,7490.496793282234
2026-08-12,6026.4483216701,4644.816035545397,7476.697082346372
2026-08-13,6320.180612593991,4896.630786224188,7706.8165331736245
2026-08-14,6043.63141275529,4673.434145459638,7533.02250005662
2026-08-15,1812.9615024889574,488.8771623681375,3336.3120885132494
2026-08-16,514.7459136497547,-1035.5702384047895,2023.4171775029824
2026-08-17,5591.666024731865,4048.988949253038,6973.908103439005
2026-08-18,5820.541943682467,4333.331208862314,7260.791817353145
2026-08-19,5758.656620251388,4332.633217956163,7137.610409711136
2026-08-20,6030.622927612677,4632.297085785545,7476.554450458313
2026-08-21,5738.962983125703,4352.6772256794175,7129.594784808638
2026-08-22,4722.286846148643,3193.7713729930465,5994.499495318896
2026-08-23,201.36088422666586,-1290.3880942778314,1718.1174184893978
2026-08-24,5282.885720424733,3749.0130778877456,6764.58376559033
2026-08-25,5524.044552752266,4155.590353257497,7057.654931194081
2026-08-26,5480.983698751226,3961.4840984275047,6919.339671639006
2026-08-27,5777.770560060571,4335.091801550617,7176.071513935323
2026-08-28,5516.535805981181,4242.878009766252,6996.1549438693855
2026-08-29,4535.245794486941,3084.9418383578345,5937.438594193503
