ds,yhat,yhat_lower,yhat_upper
2026-06-01,6180.465319783007,901.7691062813665,11529.912414950217
2026-06-02,1835.8917501585213,-3788.90552416872,7199.812544136125
2026-06-03,6665.424566106621,1056.3832273050953,12374.777616913338
2026-06-04,8170.129580104636,3013.914127937989,13673.043700008931
2026-06-05,7398.153489421006,1998.267176671983,12543.003859651073
2026-06-06,5736.650472402886,225.52295703079926,11420.072733022887
2026-06-07,6112.934463299848,661.9317328123248,11640.72960569273
2026-06-08,6176.280335434607,849.1211905918371,11749.460333981804
2026-06-09,1805.3417669559974,-3948.5594512559064,7250.8111703144095
2026-06-10,6626.5307833607285,1002.5079304618339,12050.490197754674
2026-06-11,8122.4450529988735,2850.613992621294,13567.190251164748
2026-06-12,7343.049470014531,1941.2514150722297,12767.759088145822
2026-06-13,5677.673656314751,223.56860814573295,11193.999000132479
2026-06-14,6057.972748348457,599.9884133414486,11530.257966103387
2026-06-15,6129.46043103293,1008.4628265143126,11554.42562906806
2026-06-16,1764.2249612771075,-3680.756271049711,7329.033353802955
2026-06-17,6608.708977059331,1093.3771220193958,11635.12359997897
2026-06-18,8126.057374058234,2834.143244598452,13773.935157416334
2026-06-19,7367.1204746505,2560.502190486833,13277.070688975105
2026-06-20,5722.548204963239,213.39375546069923,11181.386180680565
2026-06-21,6127.5828335045635,374.3342934903927,11346.49685111184
2026-06-22,6223.344337914108,793.5158217293896,11555.44305974939
2026-06-23,1874.86156629861,-3968.8503074581486,7540.38402607118
2026-06-24,6748.26534588098,1356.042463010281,12262.861470109943
2026-06-25,8287.065693012471,3095.4657575736555,14020.765239769189
2026-06-26,7542.9808254451455,1786.3189497471403,12722.585346720327
2026-06-27,5908.127686415203,382.2200400801074,11494.716769712022
2026-06-28,6321.641758893919,1122.1569647164563,11672.370262829747
2026-06-29,6420.705501520363,691.8475021408926,11597.095216986267
2026-06-30,2063.8812778475904,-3351.209962124606,7623.041509499978
2026-07-01,6937.700679745994,1582.6235809667987,12416.547166163164
2026-07-02,8466.850762423759,3259.592466422399,13718.817590599221
2026-07-03,7704.80594470181,2209.2453777299434,13270.70346100613
2026-07-04,6046.089923411832,663.9260563647118,11535.032427856542
2026-07-05,6434.69630175104,997.4790400342042,12005.708769553547
2026-07-06,6504.833255653998,907.3494859424545,11904.68431957919
2026-07-07,2109.53155374692,-3088.8408569180197,7677.586808286514
2026-07-08,6956.60430948729,1559.2868761343375,12053.458348132906
2026-07-09,8452.718046295284,2526.314430900624,13962.947104311725
2026-07-10,7653.805534167462,2123.5848952613924,12855.021113602857
2026-07-11,5957.37997163945,490.72951242949813,11794.383165663647
2026-07-12,6312.7406389542475,985.9347335788129,11620.843174143123
2026-07-13,6351.421748558734,436.1927309185029,11342.830472144246
2026-07-14,1921.0675567145688,-3816.195540342263,7319.555251952886
2026-07-15,6750.75878398181,1763.8045796061926,11737.527590485764
2026-07-16,8228.96906311067,2759.527516118662,13792.977414089759
2026-07-17,7413.763533339894,1994.450334736387,12595.903050363979
2026-07-18,5705.174220091145,421.2156155852927,11393.710561307907
2026-07-19,6057.203480671818,759.4843366398563,11342.11360027095
2026-07-20,6097.99327141103,585.6698261711049,11461.441807685705
2026-07-21,1668.9865834671527,-4143.704871038711,6941.55003624918
2026-07-22,6519.642222629064,982.3094516189223,11606.438035654328
2026-07-23,8019.3001850206065,2978.321323146501,13450.437254336757
2026-07-24,7227.190759855177,1254.0341407707372,13077.954026749134
2026-07-25,5544.896387713996,69.62831022852747,10976.671834130364
2026-07-26,5930.178026793928,60.02404832015767,11366.214084321264
2026-07-27,6006.8891393408,522.666498650697,11559.972867349697
2026-07-28,1609.446286655936,-3964.9933845908963,7178.284928052807
2026-07-29,6506.953038869107,947.5950617047141,12180.161585583344
2026-07-30,8048.992451645168,2661.324491243026,13485.85849690058
2026-07-31,7295.461795474556,2130.9765660344447,12692.685091030087
2026-08-01,5649.132586507714,-82.42551000726542,11439.013357264192
2026-08-02,6071.307871224266,421.2511319109667,11775.534407041385
2026-08-03,6181.485065357909,800.059426436737,11809.20648173452
2026-08-04,1807.1359147423843,-3450.20279998949,7251.0244988201885
2026-08-05,6737.235860542881,971.1673254503133,11898.955267866224
2026-08-06,8301.9762110296,3053.7668860690665,13588.308773558909
2026-08-07,7562.413608374135,2137.306747977068,12705.53335311156
2026-08-08,5923.114199898851,275.48493152299744,11486.337204492895
2026-08-09,6349.625084761214,1069.8735328735004,11612.215073994388
2026-08-10,6457.867012048565,652.282266894238,11920.549224609216
2026-08-11,2069.2030165899946,-3620.3128195913832,7439.608325443494
2026-08-12,6993.351429120801,1285.6743394344835,12276.407573027684
2026-08-13,8541.995410075602,3002.2119367668515,13897.79991343835
2026-08-14,7778.224901336291,2120.5996549543797,13119.356874609372
2026-08-15,6177.080301199539,806.3663948814898,11596.417726535352
2026-08-16,6505.632984898333,1260.1893815496926,11821.108269295966
2026-08-17,6580.458724297813,1197.4970824680327,11905.282815694385
2026-08-18,2149.609128904631,-3508.5398654970254,7635.2694877871345
2026-08-19,7044.079231578578,1247.087107481658,12333.38101991369
2026-08-20,8557.46654233366,2975.889192506705,14226.450776807695
2026-08-21,7755.19772432503,2152.9574527460613,13061.191341856273
2026-08-22,6047.293388599842,774.5352411491409,11493.119932983273
2026-08-23,6409.425981158897,1341.8897241518396,11753.975265679517
2026-08-24,6451.737073941572,846.3618652198247,11799.617928192898
2026-08-25,1984.4557660264477,-3276.80508043141,7175.773960598707
2026-08-26,6859.559499541097,1651.5363465444977,12041.577899569578
2026-08-27,8352.167264340222,3379.9706483496234,13519.219631768767
2026-08-28,7529.56398828843,2266.6562311790044,12889.971287361463
2026-08-29,5804.038228195693,395.4872911466326,10985.0738388821
